   Step          Temp          PotEng         KinEng         TotEng         Press     
    185000   1157.6193     -2769.7419      127.93711     -2641.8048      665.98196    
    186000   1161.0811     -2769.4077      128.31969     -2641.088      -62.171251    
    187000   1231.7102     -2779.642       136.12544     -2643.5165     -2613.3717    
    188000   1186.97       -2772.7296      131.18087     -2641.5488     -416.73964    
    189000   1191.0791     -2774.2977      131.63499     -2642.6627      1400.0737    
    190000   1131.9084     -2771.0703      125.0956      -2645.9747     -281.52705    
    191000   1193.6641     -2774.4171      131.92068     -2642.4964     -667.03325    
    192000   1191.1865     -2774.7618      131.64687     -2643.1149     -1063.2709    
    193000   1167.3916     -2771.9305      129.01712     -2642.9134     -2091.8789    
    194000   1213.1247     -2778.3321      134.07141     -2644.2607     -1840.8087    
    195000   1201.0825     -2773.4802      132.74054     -2640.7397     -1070.1573    
    196000   1222.1718     -2774.2381      135.07128     -2639.1668     -491.15108    
    197000   1150.2137     -2776.2246      127.11865     -2649.106       494.13498    
    198000   1213.2354     -2771.0779      134.08365     -2636.9943     -619.47986    
    199000   1140.0426     -2775.8563      125.99457     -2649.8617     -1185.218     
    200000   1167.5211     -2770.4275      129.03143     -2641.396      -396.13733    
    201000   1191.8389     -2772.6618      131.71896     -2640.9428      276.00911    
    202000   1171.3631     -2772.1876      129.45604     -2642.7316     -168.06864    
    203000   1156.7176     -2778.3351      127.83745     -2650.4976      254.15534    
    204000   1179.7619     -2776.2492      130.38424     -2645.8649     -1846.1251    
    205000   1173.8513     -2773.4013      129.73102     -2643.6703     -466.51224    
    206000   1220.8163     -2776.9608      134.92148     -2642.0393      163.91677    
    207000   1204.0249     -2772.7609      133.06573     -2639.6951     -129.21779    
    208000   1153.4915     -2772.3877      127.48091     -2644.9068      257.85949    
    209000   1136.2534     -2768.9173      125.5758      -2643.3415     -321.12063    
    210000   1155.0155     -2779.494       127.64934     -2651.8447     -2925.1331    
    211000   1192.0749     -2773.4155      131.74504     -2641.6705     -2079.1455    
    212000   1212.1131     -2778.6248      133.95961     -2644.6652     -1238.504     
    213000   1169.7457     -2767.7845      129.27728     -2638.5072      462.24221    
    214000   1204.6        -2773.0347      133.12929     -2639.9055     -256.46058    
    215000   1145.5856     -2769.7694      126.60717     -2643.1623     -635.90904    
    216000   1152.9232     -2778.7453      127.4181      -2651.3272     -1645.0318    
    217000   1179.2733     -2780.2604      130.33025     -2649.9301     -2048.3841    
    218000   1136.4575     -2779.3501      125.59836     -2653.7518     -2198.7468    
    219000   1148.8191     -2772.9403      126.96453     -2645.9757     -1445.7354    
    220000   1175.3444     -2776.7826      129.89603     -2646.8865     -1164.0814    
    221000   1157.6313     -2771.9876      127.93843     -2644.0492     -1045.5502    
