   Step          Temp          PotEng         KinEng         TotEng         Press     
      2400   1165.8462     -2778.852       128.84632     -2650.0057     -4213.6678    
      2410   1164.7428     -2779.2599      128.72437     -2650.5355     -4281.6048    
      2420   1163.4894     -2779.6421      128.58585     -2651.0563     -4309.3361    
      2430   1164.5258     -2780.3845      128.70039     -2651.6841     -4361.3219    
      2440   1168.5985     -2781.4878      129.1505      -2652.3373     -4521.6285    
      2450   1174.707      -2782.8817      129.82559     -2653.0561     -4828.593     
      2460   1179.1307     -2784.1116      130.31449     -2653.7971     -5227.1351    
      2470   1177.2265     -2784.7223      130.10404     -2654.6182     -5498.285     
      2480   1166.7353     -2784.4556      128.94458     -2655.511      -5553.3926    
      2490   1151.3091     -2783.68        127.23972     -2656.4403     -5492.6252    
      2500   1138.7745     -2783.2167      125.85442     -2657.3623     -5348.4292    
      2510   1135.0882     -2783.6447      125.44702     -2658.1977     -5287.2654    
      2520   1139.3726     -2784.9308      125.92053     -2659.0103     -5408.5165    
      2530   1145.5892     -2786.3648      126.60757     -2659.7572     -5579.001     
      2540   1147.8722     -2787.2655      126.85988     -2660.4056     -5711.7913    
      2550   1142.9135     -2787.336       126.31186     -2661.0241     -5718.2732    
      2560   1130.5761     -2786.5129      124.94836     -2661.5646     -5550.0409    
      2570   1113.1447     -2785.0111      123.02188     -2661.9892     -5220.4818    
      2580   1095.168      -2783.3059      121.03515     -2662.2708     -4911.0769    
      2590   1081.5459     -2781.8909      119.52966     -2662.3612     -4719.8805    
      2600   1076.2097     -2781.1229      118.93992     -2662.183      -4709.8084    
      2610   1080.9397     -2781.408       119.46268     -2661.9453     -4884.3428    
      2620   1095.6668     -2782.5772      121.09027     -2661.487      -5256.4348    
      2630   1117.1078     -2784.3817      123.45988     -2660.9218     -5740.0232    
      2640   1140.3852     -2786.3041      126.03243     -2660.2716     -6182.0693    
      2650   1160.8316     -2788.0083      128.29211     -2659.7162     -6525.3924    
      2660   1173.8275     -2788.8485      129.72839     -2659.1202     -6753.5815    
      2670   1176.1755     -2788.6099      129.98789     -2658.6221     -6755.099     
      2680   1167.9228     -2787.3202      129.07582     -2658.2444     -6462.1305    
      2690   1152.7782     -2785.343       127.40207     -2657.9409     -6056.6768    
      2700   1137.1776     -2783.425       125.67794     -2657.7471     -5529.8862    
      2710   1126.7955     -2782.0351      124.53053     -2657.5045     -5074.5614    
      2720   1121.9466     -2781.2177      123.99464     -2657.2231     -4757.2502    
      2730   1121.1168     -2780.802       123.90294     -2656.899      -4570.7131    
      2740   1122.1433     -2780.5424      124.01639     -2656.5261     -4418.0953    
      2750   1123.7178     -2780.3526      124.1904      -2656.1622     -4288.4784    
      2760   1127.0739     -2780.2586      124.56131     -2655.6973     -4229.0705    
      2770   1133.9195     -2780.4996      125.31786     -2655.1817     -4265.9221    
      2780   1144.5954     -2781.1556      126.49774     -2654.6578     -4396.1346    
      2790   1157.548      -2781.9867      127.92922     -2654.0575     -4509.4366    
      2800   1170.1013     -2782.7493      129.31659     -2653.4327     -4655.8891    
      2810   1180.7564     -2783.3254      130.49415     -2652.8313     -4844.8151    
      2820   1188.7763     -2783.6627      131.38049     -2652.2822     -4917.8918    
      2830   1192.848      -2783.6136      131.83049     -2651.7831     -4920.6446    
      2840   1190.6457     -2782.9189      131.5871      -2651.3318     -4851.5858    
      2850   1181.7176     -2781.5785      130.60038     -2650.9782     -4682.0896    
      2860   1167.4291     -2779.6036      129.02125     -2650.5823     -4437.1261    
      2870   1150.8633     -2777.4726      127.19044     -2650.2822     -4126.2381    
      2880   1134.843      -2775.2981      125.41993     -2649.8782     -3768.5502    
      2890   1122.32       -2773.4488      124.03592     -2649.4129     -3382.1763    
      2900   1115.5212     -2772.1812      123.28453     -2648.8967     -3057.5001    
      2910   1113.819      -2771.3305      123.0964      -2648.2341     -2847.082     
      2920   1117.0081     -2770.8303      123.44886     -2647.3814     -2829.0588    
      2930   1126.8225     -2771.0013      124.53352     -2646.4678     -2970.6363    
      2940   1144.0182     -2771.9076      126.43394     -2645.4736     -3324.9583    
      2950   1166.6766     -2773.4337      128.93809     -2644.4956     -3862.9897    
      2960   1189.949      -2775.1217      131.5101      -2643.6116     -4317.6178    
      2970   1210.7182     -2776.6068      133.80546     -2642.8013     -4677.9443    
      2980   1227.6416     -2777.8456      135.67579     -2642.1698     -4788.7197    
      2990   1238.0911     -2778.5595      136.83064     -2641.7289     -4589.2159    
      3000   1239.6734     -2778.4593      137.00551     -2641.4538     -4091.3684    
