# pair
86.769	0.326	86.809	0.427	-8.999	-2.336	-5.8121	1.437       1.480      1.471      0.338      -9.290      -4.419      -6.0470	1548.7531009776344035  -371379.88147837825818
86.769	0.318	86.806	0.439	-7.622	-4.667	-5.7952	1.437       1.470      1.466      -0.121      -10.707      -5.040      -6.0659	1549.0787817530090251  -371378.56788412906462
86.770	0.311	86.800	0.396	-6.118	-6.520	-5.7885	1.436       1.458      1.461      -0.664      -12.032      -5.539      -6.0870	1548.4831914529204369  -371377.54650118626887
86.770	0.305	86.793	0.319	-4.632	-7.704	-5.7873	1.435       1.445      1.455      -1.279      -13.203      -5.916      -6.1040	1546.9974343518340447  -371376.45624837558717
86.770	0.301	86.785	0.218	-3.404	-8.304	-5.7887	1.434       1.432      1.449      -1.939      -14.158      -6.178      -6.1152	1545.1555982819982091  -371374.80787977867294
86.770	0.299	86.776	0.091	-2.295	-8.610	-5.7953	1.431       1.417      1.443      -2.622      -14.842      -6.336      -6.1190	1543.5881659894118911  -371374.18105156044476
86.770	0.297	86.767	-0.092	-0.753	-8.438	-5.8030	1.429       1.402      1.436      -3.300      -15.211      -6.398      -6.1200	1542.4706604624116153  -371372.75584202120081
86.770	0.297	86.759	-0.349	1.420	-7.540	-5.8130	1.425       1.387      1.430      -3.933      -15.231      -6.362      -6.1215	1541.68483168141438  -371372.58996655390365
86.770	0.300	86.752	-0.671	3.981	-6.151	-5.8332	1.421       1.372      1.424      -4.477      -14.876      -6.209      -6.1273	1540.7188358904318193  -371371.43435867858352
86.769	0.305	86.747	-1.038	6.691	-4.498	-5.8673	1.416       1.357      1.417      -4.885      -14.123      -5.913      -6.1346	1539.2825657075536583  -371370.29874146758812
86.768	0.313	86.743	-1.588	9.204	-2.751	-5.9132	1.411       1.343      1.412      -5.113      -12.959      -5.459      -6.1323	1537.5229186911428769  -371368.80624049325706
86.766	0.323	86.741	-2.410	11.228	-1.008	-5.9658	1.406       1.331      1.407      -5.127      -11.382      -4.834      -6.1169	1536.1405097534423021  -371367.32166686846176
86.763	0.336	86.741	-3.158	12.661	0.864	-6.0171	1.401       1.321      1.402      -4.903      -9.402      -4.037      -6.0936	1535.6512605317604994  -371366.33201751473825
86.759	0.349	86.743	-3.538	13.386	2.880	-6.0589	1.396       1.312      1.399      -4.425      -7.043      -3.070      -6.0670	1535.8183710277091905  -371365.42069823329803
86.756	0.362	86.747	-3.550	13.148	4.818	-6.0843	1.392       1.307      1.396      -3.683      -4.346      -1.944      -6.0431	1536.498162027408398  -371364.35703962115804
