LJ_3n				
N	4000	R	1	30
214	2.544636159	19514246.53	90353780.16	
215	2.551887972	18859017.82	87076560.26	
216	2.559139785	18227554.89	83926991.47	
217	2.566391598	17618932.05	80899761.39	
218	2.573643411	17032262.11	77989792.77	
219	2.580895224	16466694.72	75192232.51	
220	2.588147037	15921414.72	72502441.15	
221	2.59539885	15395640.58	69915982.93	
222	2.602650663	14888622.94	67428616.3	
223	2.609902476	14399643.23	65036284.9	
224	2.617154289	13928012.26	62735109.04	
225	2.624406102	13473068.98	60521377.46	
226	2.631657914	13034179.27	58391539.67	
227	2.638909727	12610734.75	56342198.52	
228	2.64616154	12202151.66	54370103.2	
229	2.653413353	11807869.85	52472142.55	
230	2.660665166	11427351.68	50645338.72	
231	2.667916979	11060081.16	48886841.1	
232	2.675168792	10705562.93	47193920.56	
233	2.682420605	10363321.45	45563963.98	
234	2.689672418	10032900.1	43994469.01	
235	2.696924231	9713860.443	42483039.09	
236	2.704176044	9405781.39	41027378.72	
237	2.711427857	9108258.513	39625288.96	
238	2.71867967	8820903.329	38274663.09	
239	2.725931483	8543342.632	36973482.54	
240	2.733183296	8275217.852	35719812.96	
241	2.740435109	8016184.45	34511800.52	
242	2.747686922	7765911.328	33347668.33	
243	2.754938735	7524080.275	32225713.09	
244	2.762190548	7290385.431	31144301.83	
245	2.769442361	7064532.78	30101868.84	
246	2.776694174	6846239.657	29096912.76	
247	2.783945986	6635234.288	28127993.73	
248	2.791197799	6431255.339	27193730.75	
249	2.798449612	6234051.49	26292799.15	
250	2.805701425	6043381.029	25423928.1	
251	2.812953238	5859011.458	24585898.33	
252	2.820205051	5680719.122	23777539.91	
253	2.827456864	5508288.85	22997730.14	
254	2.834708677	5341513.612	22245391.48	
255	2.84196049	5180194.194	21519489.71	
256	2.849212303	5024138.88	20819032.01	
257	2.856464116	4873163.154	20143065.22	
258	2.863715929	4727089.413	19490674.19	
259	2.870967742	4585746.689	18860980.16	
260	2.878219555	4448970.389	18253139.2	
261	2.885471368	4316602.038	17666340.78	
262	2.892723181	4188489.039	17099806.36	
263	2.899974994	4064484.442	16552788.05	
264	2.907226807	3944446.719	16024567.31	
265	2.91447862	3828239.554	15514453.78	
266	2.921730433	3715731.637	15021784.05	
267	2.928982246	3606796.469	14545920.59	
268	2.936234059	3501312.174	14086250.66	
269	2.943485871	3399161.319	13642185.28	
270	2.950737684	3300230.743	13213158.28	
271	2.957989497	3204411.39	12798625.34	
272	2.96524131	3111598.153	12398063.1	
273	2.972493123	3021689.719	12010968.31	
274	2.979744936	2934588.423	11636857.03	
275	2.986996749	2850200.113	11275263.79	
276	2.994248562	2768434.009	10925740.91	
277	3.001500375	2689202.579	10587857.72	
278	3.008752188	2612421.415	10261199.92	
279	3.016004001	2538009.113	9945368.9	
280	3.023255814	2465887.158	9639981.098	
281	3.030507627	2395979.818	9344667.425	
282	3.03775944	2328214.038	9059072.67	
283	3.045011253	2262519.337	8782854.95	
284	3.052263066	2198827.716	8515685.18	
285	3.059514879	2137073.56	8257246.563	
286	3.066766692	2077193.552	8007234.108	
287	3.074018505	2019126.588	7765354.16	
288	3.081270318	1962813.692	7531323.957	
289	3.088522131	1908197.94	7304871.196	
290	3.095773943	1855224.38	7085733.629	
291	3.103025756	1803839.965	6873658.665	
292	3.110277569	1753993.478	6668402.995	
293	3.117529382	1705635.467	6469732.231	
294	3.124781195	1658718.179	6277420.559	
295	3.132033008	1613195.499	6091250.404	
296	3.139284821	1569022.891	5911012.113	
297	3.146536634	1526157.337	5736503.653	
298	3.153788447	1484557.285	5567530.311	
299	3.16104026	1444182.597	5403904.415	
300	3.168292073	1404994.493	5245445.069	
301	3.175543886	1366955.506	5091977.884	
302	3.182795699	1330029.435	4943334.74	
303	3.190047512	1294181.296	4799353.541	
304	3.197299325	1259377.282	4659877.986	
305	3.204551138	1225584.718	4524757.353	
306	3.211802951	1192772.024	4393846.286	
307	3.219054764	1160908.673	4267004.592	
308	3.226306577	1129965.154	4144097.045	
309	3.23355839	1099912.937	4024993.205	
310	3.240810203	1070724.439	3909567.232	
311	3.248062016	1042372.989	3797697.718	
312	3.255313828	1014832.796	3689267.521	
313	3.262565641	988078.9175	3584163.604	
314	3.269817454	962087.2335	3482276.885	
315	3.277069267	936834.4129	3383502.089	
316	3.28432108	912297.8886	3287737.608	
317	3.291572893	888455.8304	3194885.363	
318	3.298824706	865287.1194	3104850.679	
319	3.306076519	842771.323	3017542.155	
320	3.313328332	820888.6717	2932871.545	
321	3.320580145	799620.0358	2850753.646	
322	3.327831958	778946.9036	2771106.18	
323	3.335083771	758851.3599	2693849.697	
324	3.342335584	739316.0658	2618907.461	
325	3.349587397	720324.2388	2546205.361	
326	3.35683921	701859.6337	2475671.81	
327	3.364091023	683906.5248	2407237.658	
328	3.371342836	666449.6876	2340836.1	
329	3.378594649	649474.3821	2276402.594	
330	3.385846462	632966.3362	2213874.78	
331	3.393098275	616911.7304	2153192.401	
332	3.400350088	601297.1819	2094297.228	
333	3.4076019	586109.7301	2037132.987	
334	3.414853713	571336.8227	1981645.29	
335	3.422105526	556966.3018	1927781.57	
336	3.429357339	542986.3904	1875491.011	
337	3.436609152	529385.6804	1824724.492	
338	3.443860965	516153.1197	1775434.523	
339	3.451112778	503278.0006	1727575.191	
340	3.458364591	490749.9485	1681102.102	
341	3.465616404	478558.9105	1635972.326	
342	3.472868217	466695.1452	1592144.352	
343	3.48012003	455149.2121	1549578.031	
344	3.487371843	443911.9621	1508234.534	
345	3.494623656	432974.5274	1468076.303	
